BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36667,1,9,
1,1300,70053,68400,HomeImp,Other,7,0,2,121.8333,0,14,
1,1500,13500,16700,HomeImp,Other,4,0,0,149.4667,1,10,
1,1500,,,,,,,,,,,
0,1700,97800,112000,HomeImp,Office,3,0,0,93.33333,0,14,
1,1700,30548,40320,HomeImp,Other,9,0,0,101.466,1,8,37.11361
1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
1,1800,28502,43034,HomeImp,Other,11,0,0,88.76603,0,8,36.88489
1,2000,32700,46740,HomeImp,Other,3,0,2,216.9333,1,12,
1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,
1,2000,22608,,,,18,,,,,,
1,2000,20627,29800,HomeImp,Office,11,0,1,122.5333,1,9,
1,2000,45000,55000,HomeImp,Other,3,0,0,86.06667,2,25,
0,2000,64536,87400,,Mgr,2.5,0,0,147.1333,0,24,
1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
1,2200,24280,34687,HomeImp,Other,,0,1,300.8667,0,8,
1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
1,2200,23030,,,,19,,,,,,3.711312
1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,
0,2300,102370,120953,HomeImp,Office,2,0,0,90.99253,0,13,31.5885
1,2300,37626,46200,HomeImp,Other,3,0,1,122.2667,1,14,
1,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,
1,2400,18000,,HomeImp,Mgr,22,,2,121.7333,0,10,
1,2400,,17180,HomeImp,Other,,0,0,14.56667,3,4,
1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108,1,21,38.2636
0,2400,98449,117195,HomeImp,Office,4,0,0,93.81177,0,13,29.68183
1,2500,15000,20200,HomeImp,,18,0,0,136.0667,1,19,
1,2500,25116,36350,HomeImp,Other,10,1,2,276.9667,0,9,
0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,
0,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.7333,0,12,
1,2800,50795,63100,HomeImp,Self,26,2,15,145.6333,3,45,
