Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
17314.103129,8221,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
17542.036083,9135,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16218.847862,13196,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16336.91314,16342,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0
16339.170324,19832,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15709.052821,22236,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15230.00339,22576,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15048.042184,22964,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
14862.09387,24021,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15295.018267,27325,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
21335.852485,10237,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
20538.08751,15066,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
20512.094091,16633,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19924.159052,19800,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19774.249066,23359,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19344.165537,23765,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19105.130124,24008,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
18543.427045,26034,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
17808.198996,32896,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
17968.838278,34665,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
22358.877678,8970,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,0
23785.922526,10577,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
22926.090371,14363,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
21895.758784,16508,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
21273.061714,18908,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
21460.013953,19467,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
21183.123587,21394,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
20406.099503,22596,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
21058.13958,24469,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
