Sales,Time,MktPoten,Adver,MktShare,Change,Accts,WkLoad,
3669.88,43.10,74065.11,4582.88,2.51,0.34,74.86,15.05,
3473.95,108.13,58117.30,5539.78,5.51,0.15,107.32,19.97,
2295.10,13.82,21118.49,2950.38,10.91,-0.72,96.75,17.34,
4675.56,186.18,68521.27,2243.07,8.27,0.17,195.12,13.40,
6125.96,161.79,57805.11,7747.08,9.15,0.50,180.44,17.64,
2134.94,8.94,37806.94,402.44,5.51,0.15,104.88,16.22,
5031.66,365.04,50935.26,3140.62,8.54,0.55,256.10,18.80,
3367.45,220.32,35602.08,2086.16,7.07,-0.49,126.83,19.86,
6519.45,127.64,46176.77,8846.25,12.54,1.24,203.25,17.42,
4876.37,105.69,42053.24,5673.11,8.85,0.31,119.51,21.41,
2468.27,57.72,36829.71,2761.76,5.38,0.37,116.26,16.32,
2533.31,23.58,33612.67,1991.85,5.43,-0.65,142.28,14.51,
2408.11,13.82,21412.79,1971.52,8.48,0.64,89.43,19.35,
2337.38,13.82,20416.87,1737.38,7.80,1.01,84.55,20.02,
4586.95,86.99,36272.00,10694.20,10.34,0.11,119.51,15.26,
2729.24,165.85,23093.26,8618.61,5.15,0.04,80.49,15.87,
3289.40,116.26,26878.59,7747.89,6.64,0.68,136.58,7.81,
2800.78,42.28,39571.96,4565.81,5.45,0.66,78.86,16.00,
3264.20,52.84,51866.15,6022.70,6.31,-0.10,136.58,17.44,
3453.62,165.04,58749.82,3721.10,6.35,-0.03,138.21,17.98,
1741.45,10.57,23990.82,860.97,7.37,-1.63,75.61,20.99,
2035.75,13.82,25694.86,3571.51,8.39,-0.43,102.44,21.66,
1578.00,8.13,23736.35,2845.50,5.15,0.04,76.42,21.46,
4167.44,58.54,34314.29,5060.11,12.88,0.22,136.58,24.78,
2799.97,21.14,22809.53,3552.00,9.14,-0.74,88.62,24.96,
